clone	push	retard	README.md                	Makefile                 	tp1.c                    	cp.txt                   	liste.sh                 	depot, etudiant et projet
0	1	0	2020-10-18 17:20:08 -0400	2020-10-16 12:45:18 -0400	2020-10-16 11:32:20 -0400	2020-10-16 11:32:20 -0400	2020-10-16 11:32:20 -0400	github.com/Jeremie-Gour/inf3135-a2020
0	0	0	2020-10-18 17:42:20 -0400	2020-10-16 16:08:39 -0400	2020-10-12 15:26:32 -0400	2020-10-10 14:23:01 -0400	2020-10-12 17:43:38 -0400	github.com/JP-UQAM/inf3135-a2020
0	0	0	2020-10-16 13:39:01 -0400	2020-10-16 13:34:33 -0400	2020-10-16 13:21:20 -0400	2020-10-03 20:14:42 -0400	2020-10-13 23:11:26 -0400	github.com/Jrobill4rd/inf3135-a2020
0	0	0	2020-10-17 18:34:20 -0400	2020-10-17 09:00:20 -0400	2020-10-17 16:36:47 -0400	2020-10-13 15:21:42 -0400		github.com/JulesHauchecorne/inf3135-a2020
0	0	0	2020-10-18 16:45:05 -0400	2020-10-14 22:43:14 -0400	2020-10-14 22:43:14 -0400	2020-10-07 20:51:52 -0400		github.com/jusave/inf3135-a2020
0	0	0	2020-10-18 20:22:47 -0400	2020-10-18 13:41:59 -0400	2020-10-18 19:48:32 -0400	2020-10-18 13:41:59 -0400	2020-10-18 19:48:32 -0400	github.com/kousseylakadri/inf3135-a2020
128	0	0						github.com/Kyowdem/inf3135-a2020
0	0	0	2020-10-18 19:45:40 -0400	2020-10-17 18:53:14 -0400	2020-10-17 23:04:49 -0400	2020-10-16 09:11:03 -0400	2020-10-18 19:54:04 -0400	github.com/laricekl/inf3135-a2020
0	1	0	2020-10-18 17:40:46 -0400	2020-10-18 17:42:41 -0400	2020-10-18 17:40:46 -0400	2020-10-18 17:40:46 -0400	2020-10-18 17:40:46 -0400	github.com/L-bern/inf3135-a2020
0	0	0	2020-10-17 14:59:09 -0400	2020-10-17 15:07:41 -0400	2020-10-17 14:38:46 -0400	2020-10-17 14:38:46 -0400	2020-10-16 12:52:12 -0400	github.com/LMGsean/inf3135-a2020
0	0	0	2020-10-17 09:59:40 -0400	2020-10-18 20:53:16 -0400	2020-10-18 20:53:16 -0400	2020-10-04 15:17:22 -0400	2020-10-18 20:53:16 -0400	github.com/louizette/inf3135-a2020
0	1	0	2020-10-18 16:23:47 -0400	2020-10-17 15:37:17 -0400	2020-10-18 16:23:47 -0400	2020-10-10 18:58:59 -0400	2020-10-15 22:03:39 -0400	github.com/maxowell/inf3135-a2020
128	0	0						github.com/mednadi/inf3135-a2020
128	0	0						github.com/Mouad-Latif/inf3135-a2020
